Candidate ID,Interviewer Type,Behavioral Assessment,Technical Assessment,Rapidfire Assessment
1,1,64,87,85
2,1,56,79,63
3,1,53,82,98
4,1,70,76,68
5,1,64,96,83
6,1,63,88,63
7,1,68,97,88
8,1,63,86,71
9,1,59,99,51
10,1,67,75,90
11,1,64,79,99
12,1,56,98,60
13,1,64,95,59
14,1,52,87,57
15,1,69,73,59
16,1,70,89,87
17,1,60,79,61
18,1,52,79,72
19,1,64,89,96
20,1,57,82,94
21,1,50,73,64
22,1,52,79,75
23,1,66,92,57
24,1,66,71,84
25,1,63,82,52
1,2,77,59,59
2,2,83,66,51
3,2,100,68,69
4,2,95,70,80
5,2,80,76,95
6,2,88,52,62
7,2,87,72,73
8,2,90,53,66
9,2,87,62,92
10,2,98,64,84
11,2,99,59,71
12,2,96,71,53
13,2,80,78,80
14,2,86,66,91
15,2,93,71,59
16,2,84,67,93
17,2,82,75,67
18,2,100,79,100
19,2,88,53,97
20,2,92,69,96
21,2,79,54,57
22,2,79,77,62
23,2,97,78,94
24,2,80,56,58
25,2,79,74,93
1,3,52,87,98
2,3,96,58,99
3,3,67,59,59
4,3,72,90,55
5,3,73,99,53
6,3,90,85,81
7,3,86,73,71
8,3,96,77,50
9,3,80,75,50
10,3,57,57,59
11,3,83,58,96
12,3,88,52,88
13,3,51,61,59
14,3,50,72,68
15,3,84,66,70
16,3,59,95,62
17,3,63,91,59
18,3,89,87,85
19,3,94,79,64
20,3,100,78,71
21,3,90,52,85
22,3,78,64,68
23,3,62,59,84
24,3,82,93,79
25,3,65,73,75
1,4,64,84,63
2,4,68,96,74
3,4,53,80,96
4,4,58,83,62
5,4,56,80,86
6,4,68,92,88
7,4,58,98,78
8,4,70,94,71
9,4,67,91,59
10,4,55,87,65
11,4,58,90,67
12,4,52,93,92
13,4,70,96,53
14,4,62,88,84
15,4,63,80,69
16,4,57,95,79
17,4,60,97,70
18,4,50,84,71
19,4,67,85,90
20,4,60,91,62
21,4,62,99,80
22,4,54,94,86
23,4,65,89,68
24,4,53,82,89
25,4,57,92,82
